epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,learning_rate
1,0.6591,61.86,0.5606,78.57,0.7306,0.001
2,0.6235,67.44,0.652,64.29,0.641,0.001
3,0.5864,73.49,0.5734,73.81,0.7188,0.001
4,0.5646,73.02,0.5267,76.19,0.7321,0.001
5,0.5054,79.07,0.5115,76.19,0.5714,0.001
6,0.5365,74.42,0.4611,80.95,0.7375,0.001
7,0.4973,75.35,0.4509,80.95,0.7375,0.001
8,0.5141,74.42,0.4705,78.57,0.7544,0.001
9,0.4391,83.26,0.4377,83.33,0.7778,0.001
10,0.4867,78.14,0.432,80.95,0.7667,0.001
11,0.4698,80.0,0.4534,78.57,0.6681,0.001
12,0.4982,79.07,0.4266,83.33,0.7778,0.001
13,0.4485,80.0,0.4096,88.1,0.83,0.001
14,0.443,80.93,0.4263,85.71,0.825,0.001
15,0.4679,79.07,0.4062,85.71,0.8152,0.001
16,0.4236,84.19,0.447,80.95,0.7172,0.001
17,0.4419,81.86,0.4472,80.95,0.7375,0.001
18,0.3768,86.51,0.4607,76.19,0.7083,0.0005
19,0.4174,81.86,0.4553,80.95,0.7375,0.0005
20,0.4459,79.53,0.4572,78.57,0.7143,0.0005
21,0.4482,79.07,0.4682,76.19,0.6719,0.0005
